return,max_dd,worst_day,wins,losses,trades,max_open,pair,window,period
-1.2232910638650356,-1.8538678666069235,-0.9387340494004026,2,4,6,1,QQQ/SQQQ,next_day,oos
-1.4436796102436928,-4.061803527507908,-0.8941877294748601,3,3,6,3,QQQ/SQQQ,end_of_week,oos
-9.097541247359171,-14.577688204198184,-3.1384756699257665,0,6,6,6,QQQ/SQQQ,thirty_day,oos
-1.0006822802857642,-1.5997613938196573,-0.549470898384885,2,4,6,1,IWM/TZA,next_day,oos
-1.3988638842764922,-3.6026956185096597,-1.1648576519304732,3,3,6,3,IWM/TZA,end_of_week,oos
-10.029535227126225,-12.72641631451126,-3.063959831451235,0,6,6,6,IWM/TZA,thirty_day,oos
-0.2616221308207896,-0.4926557811960579,-0.21941135547345336,2,4,6,1,SPY/SH,next_day,oos
-0.3112024388119462,-1.0978389402037276,-0.24913120571298242,3,3,6,3,SPY/SH,end_of_week,oos
-2.3914872517391923,-3.8820668702186145,-0.8673808106077208,0,6,6,6,SPY/SH,thirty_day,oos
-0.6810576308326417,-1.4171578181240596,-0.6458091555521239,2,4,6,1,SPY/SPXU,next_day,oos
-0.7822172581613704,-3.171926401670947,-0.7431997238963484,3,3,6,3,SPY/SPXU,end_of_week,oos
-7.059846183484857,-11.299096454006714,-2.6213913843561087,0,6,6,6,SPY/SPXU,thirty_day,oos
-1.0006822802857642,-1.5997613938196573,-0.549470898384885,2,4,6,1,TNA/TZA,next_day,oos
-1.3988638842764922,-3.6026956185096597,-1.1648576519304732,3,3,6,3,TNA/TZA,end_of_week,oos
-10.029535227126225,-12.72641631451126,-3.063959831451235,0,6,6,6,TNA/TZA,thirty_day,oos
-1.2232910638650356,-1.8538678666069235,-0.9387340494004026,2,4,6,1,TQQQ/SQQQ,next_day,oos
-1.4436796102436928,-4.061803527507908,-0.8941877294748601,3,3,6,3,TQQQ/SQQQ,end_of_week,oos
-9.097541247359171,-14.577688204198184,-3.1384756699257665,0,6,6,6,TQQQ/SQQQ,thirty_day,oos
-2.8823662441853815,-2.8823662441853815,-0.6198354765147407,8,18,26,1,XLF/SKF,next_day,full
-1.2274281051821598,-2.138554679998432,-0.7229695058215135,11,15,26,3,XLF/SKF,end_of_week,full
4.029276224356785,-6.939340653444842,-1.965875657978966,17,9,26,13,XLF/SKF,thirty_day,full
-1.0414950060721166,-3.794130625173265,-0.9370325829357817,11,15,26,1,QQQ/SQQQ,next_day,full
0.3462653737136134,-4.065378608809483,-1.2900391129221922,14,12,26,3,QQQ/SQQQ,end_of_week,full
1.0084982571843866,-15.148626379046522,-4.771001492316628,16,10,26,13,QQQ/SQQQ,thirty_day,full
-1.4988488920556555,-2.925788836943018,-0.6788881127643975,11,15,26,1,IWM/TZA,next_day,full
1.4246439926712628,-3.6022337660477945,-2.20402987594428,14,12,26,3,IWM/TZA,end_of_week,full
-3.4849689403105004,-13.765056220190134,-5.910170647747948,12,14,26,13,IWM/TZA,thirty_day,full
-0.46986939654637533,-0.8499375282499876,-0.21952983309574403,12,14,26,1,SPY/SH,next_day,full
0.11911299987122764,-1.0983796048637855,-0.3755727262632069,15,11,26,3,SPY/SH,end_of_week,full
0.6620996506102529,-4.143072022058107,-1.2601296543129137,16,10,26,13,SPY/SH,thirty_day,full
-0.9030678002653294,-2.1728786836433875,-0.6441397965132101,12,14,26,1,SPY/SPXU,next_day,full
0.7564947602472384,-3.1663283417821293,-1.1577883314368709,15,11,26,3,SPY/SPXU,end_of_week,full
1.4754057449504616,-11.931664691249884,-3.9938036137978528,16,10,26,13,SPY/SPXU,thirty_day,full
-1.4988488920556555,-2.925788836943018,-0.6788881127643975,11,15,26,1,TNA/TZA,next_day,full
1.4246439926712628,-3.6022337660477945,-2.20402987594428,14,12,26,3,TNA/TZA,end_of_week,full
-3.4849689403105004,-13.765056220190134,-5.910170647747948,12,14,26,13,TNA/TZA,thirty_day,full
-1.0414950060721166,-3.794130625173265,-0.9370325829357817,11,15,26,1,TQQQ/SQQQ,next_day,full
0.3462653737136134,-4.065378608809483,-1.2900391129221922,14,12,26,3,TQQQ/SQQQ,end_of_week,full
1.0084982571843866,-15.148626379046522,-4.771001492316628,16,10,26,13,TQQQ/SQQQ,thirty_day,full
