open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit,return_pct
2026-02-01,2026-03-03,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.705,0.805,1799.9661465721047,1268.9761333333338,1448.9727479905443,179.99661465721056,False,14.184397163120579
2026-02-01,2026-03-03,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.555,0.625,2286.443483483484,1268.9761333333338,1429.0271771771777,160.0510438438439,False,12.612612612612603
2026-02-01,2026-03-03,654413,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,fed-cut,NO,0.925,0.981,1371.8660900900904,1268.9761333333338,1345.8006343783786,76.82450104504483,False,6.054054054054047
2026-02-03,2026-03-05,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.895,0.695,1595.0817318435754,1427.59815,1108.5818036312849,-319.0163463687152,False,-22.346368715083806
2026-02-03,2026-03-05,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.75,0.805,1903.4642000000001,1427.59815,1532.2886810000002,104.69053100000019,False,7.33333333333334
2026-02-03,2026-03-05,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.545,0.605,2619.4461467889905,1427.59815,1584.7649188073392,157.16676880733917,False,11.009174311926593
2026-02-08,2026-03-10,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.835,0.835,2288.239963855362,1910.6803698192273,1910.6803698192273,0.0,False,0.0
2026-02-08,2026-03-10,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.875,0.8915,2183.634708364831,1910.6803698192273,1946.7103425072469,36.0299726880196,False,1.8857142857142812
2026-02-08,2026-03-10,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.92,0.715,2076.8264889339425,1910.6803698192273,1484.9309395877688,-425.7494302314585,False,-22.282608695652183
2026-02-15,2026-03-17,706279,Will Trump visit China by April 30?,trump-calls,NO,0.155,0.57,38508.625796851054,5968.836998511913,21949.916704205098,15981.079705693184,False,267.7419354838709
2026-02-17,2026-03-19,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.775,0.835,1989.0918451370578,1541.54617998122,1660.8916906894433,119.3455107082234,False,7.74193548387096
2026-02-17,2026-03-19,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.585,0.645,2635.1216751815728,1541.54617998122,1699.6534804921146,158.10730051089467,False,10.256410256410266
2026-02-17,2026-03-19,706279,Will Trump visit China by April 30?,trump-calls,NO,0.145,0.595,10631.352965387725,1541.54617998122,6325.655014405696,4784.108834424476,False,310.3448275862069
2026-02-19,2026-03-21,706279,Will Trump visit China by April 30?,trump-calls,NO,0.145,0.775,38272.87067539581,5549.566247932392,29661.474773431753,24111.908525499362,False,434.48275862068965
2026-03-01,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.815,0.835,2881.9098284164224,2348.756510159384,2406.3947067277127,57.63819656832857,False,2.4539877300613524
2026-03-01,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.73,0.0005,3217.474671451211,2348.756510159384,1.6087373357256056,-2347.1477728236587,False,-99.93150684931507
2026-03-01,2026-03-31,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.6215,0.9955,3779.1737894760804,2348.756510159384,3762.167507423438,1413.410997264054,False,60.17699115044247
2026-03-02,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.73,0.0005,2895.7272043060902,2113.880859143446,1.447863602153045,-2112.4329955412927,True,-99.93150684931507
2026-03-02,2026-03-31,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.744,0.9955,2841.237713902481,2113.880859143446,2828.45214418992,714.5712850464743,True,33.80376344086022
2026-03-02,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.815,0.835,2593.7188455747805,2113.880859143446,2165.7552360549416,51.8743769114958,True,2.4539877300613524
2026-03-03,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.815,0.835,7690.63939679915,6267.871108391307,6421.683896327289,153.81278793598267,True,2.4539877300613524
2026-03-04,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.0005,0.0005,2256433.59902087,1128.216799510435,1128.216799510435,0.0,True,0.0
2026-03-04,2026-03-31,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.8325,0.9955,1355.2153747873094,1128.216799510435,1349.1169056007666,220.90010609033152,True,19.579579579579583
2026-03-09,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.515,0.835,3559.5722576963253,1833.1797127136076,2972.2428351764315,1139.063122462824,True,62.135922330097074
2026-03-10,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.715,0.835,1917.418667663694,1370.954347379541,1601.0445874991844,230.09024011964334,True,16.783216783216783
2026-03-10,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.0005,0.0005,2741908.694759082,1370.954347379541,1370.954347379541,0.0,True,0.0
2026-03-10,2026-03-31,1455604,Will Trump talk to Xi Jinping in March?,trump-calls,NO,0.295,0.72,4647.302872473021,1370.954347379541,3346.058068180575,1975.103720801034,True,144.0677966101695
2026-03-12,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.695,0.835,3550.673129903848,2467.717825283174,2964.812063469713,497.09423818653886,True,20.143884892086334
2026-03-12,2026-03-31,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.9405,0.9955,2623.8360715397916,2467.717825283174,2612.0288092178625,144.31098393468847,True,5.8479532163742745
2026-03-16,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.695,0.835,6391.211633826926,4441.892085509713,5336.661714245483,894.7696287357703,True,20.143884892086334
2026-03-17,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.0005,0.0005,4128463.031586168,2064.231515793084,2064.231515793084,0.0,True,0.0
2026-03-17,2026-03-31,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.9675,0.9955,2133.572626142722,2064.231515793084,2123.97154932508,59.74003353199623,True,2.8940568475452224
2026-03-17,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.755,0.835,2734.0814778716344,2064.231515793084,2282.9580340228144,218.72651822973057,True,10.596026490066219
2026-03-18,2026-03-31,1162940,US forces enter Iran by March 31?,iran-strike,NO,0.72,0.835,1935.217046056016,1393.3562731603315,1615.9062334567732,222.54996029644167,True,15.972222222222221
2026-03-18,2026-03-31,916732,Khamenei out as Supreme Leader of Iran by March 31?,iran-regime,NO,0.0005,0.0005,2786712.546320663,1393.3562731603315,1393.3562731603315,0.0,True,0.0
2026-03-18,2026-03-31,958442,Will the Iranian regime fall by March 31?,iran-regime,NO,0.9595,0.9955,1452.1691226267135,1393.3562731603315,1445.6343615748933,52.27808841456181,True,3.7519541427827026
2026-03-04,2026-04-03,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.745,0.745,1514.3849657858188,1128.216799510435,1128.216799510435,0.0,False,0.0
2026-03-04,2026-04-03,706279,Will Trump visit China by April 30?,trump-calls,NO,0.135,0.9815,8357.161477855074,1128.216799510435,8202.553990514756,7074.337191004321,False,627.0370370370371
2026-03-04,2026-04-03,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.61,0.685,1849.5357369023527,1128.216799510435,1266.9319797781118,138.71518026767671,False,12.295081967213125
2026-03-09,2026-04-08,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.615,0.755,2980.780020672533,1833.1797127136076,2250.4889156077625,417.30920289415485,False,22.764227642276424
2026-03-09,2026-04-08,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.845,0.855,2169.443446998352,1833.1797127136074,1854.874147183591,21.694434469983662,False,1.1834319526627228
2026-03-10,2026-04-09,706279,Will Trump visit China by April 30?,trump-calls,NO,0.125,0.982,10967.634779036329,1370.954347379541,10770.217353013675,9399.263005634133,False,685.6
2026-03-18,2026-04-17,706279,Will Trump visit China by April 30?,trump-calls,NO,0.545,0.982,2556.617014973085,1393.3562731603315,2510.5979087035694,1117.2416355432379,False,80.1834862385321
